Player,2000,2001,2002,2003,2004,2007,2008,2009,2011,2012,2015,2016,2017,2018,2019,2020,2022,2023,2024,Count
Frank Vatrano,,,,,,,,,,,,,,,,,,,1,1
Frans Nielsen,,,,,,,,,,,,,1,,,,,,,1
Frederik Andersen,,,,,,,,,,,,,,,,1,1,,,2
Frederik Modin,,1,,,,,,,,,,,,,,,,,,1
Gabriel Landeskog,,,,,,,,,,,,,,,1,,,,,1
Gary Roberts,,,,,1,,,,,,,,,,,,,,,1
Glen Murray,,,,1,1,,,,,,,,,,,,,,,2
Henrik Lundqvist,,,,,,,,1,1,1,,,,1,1,,,,,5
Henrik Sedin,,,,,,,1,,1,1,,,,,,,,,,3
Igor Shesterkin,,,,,,,,,,,,,,,,,,1,1,2
Ilya Kovalchuk,,,,,1,,1,1,,,,,,,,,,,,3
Ilya Sorokin,,,,,,,,,,,,,,,,,,1,,1
J.T. Miller,,,,,,,,,,,,,,,,,,,1,1
Jaccob Slavin,,,,,,,,,,,,,,,,1,,,,1
Jack Campbell,,,,,,,,,,,,,,,,,1,,,1
Jack Eichel,,,,,,,,,,,,,,1,1,1,,,,3
Jack Hughes,,,,,,,,,,,,,,,,,1,1,1,3
Jacob Markström,,,,,,,,,,,,,,,,1,,,,1
Jake Guentzel,,,,,,,,,,,,,,,,1,1,,,2
Jake Oettinger,,,,,,,,,,,,,,,,,,,1,1
Jakob Silfverberg,,,,,,,,,,,,,,,,1,,,,1
Jakub Voráček,,,,,,,,,,,1,,,,,,,,,1
James Neal,,,,,,,,,,1,,1,,1,,,,,,3
Jamie Benn,,,,,,,,,,1,,1,,,,,,,,2
Janne Niinimaa,,1,,,,,,,,,,,,,,,,,,1
Jarome Iginla,,,1,1,1,,1,1,,1,,,,,,,,,,6
Jaromír Jágr,1,,1,1,1,,,,,,,1,,,,,,,,5
Jaroslav Halák,,,,,,,,,,,1,,,,,,,,,1
Jaroslav Modrý,,,1,,,,,,,,,,,,,,,,,1
Jason Allison,,1,,,,,,,,,,,,,,,,,,1
Jason Arnott,,,,,,,1,,,,,,,,,,,,,1
Jason Blake,,,,,,1,,,,,,,,,,,,,,1
Jason Pominville,,,,,,,,,,1,,,,,,,,,,1
Jason Robertson,,,,,,,,,,,,,,,,,,1,,1
Jason Spezza,,,,,,,1,,,1,,,,,,,,,,2
Jay Bouwmeester,,,,,,1,,1,,,,,,,,,,,,2
Jean-Sébastien Giguère,,,,,,,,1,,,,,,,,,,,,1
Jeff Carter,,,,,,,,1,,,,,1,,,,,,,2
Jeff O'Neill,,,,1,,,,,,,,,,,,,,,,1
Jeff Skinner,,,,,,,,,1,,,,,,1,,,,,2
Jeremy Roenick,1,,1,1,1,,,,,,,,,,,,,,,4
Jeremy Swayman,,,,,,,,,,,,,,,,,,,1,1
Jesper Bratt,,,,,,,,,,,,,,,,,,,1,1
Jimmy Howard,,,,,,,,,,1,,,,,1,,,,,2
Jocelyn Thibault,,,,1,,,,,,,,,,,,,,,,1
Joe Pavelski,,,,,,,,,,,,1,1,,1,,1,,,4
Joe Sakic,1,1,1,,1,1,,,,,,,,,,,,,,5
Joe Thornton,,,1,1,1,1,1,1,,,,,,,,,,,,6
Joffrey Lupul,,,,,,,,,,1,,,,,,,,,,1
John Carlson,,,,,,,,,,,,,,,1,1,,,,2
John Gibson,,,,,,,,,,,,1,,,1,,1,,,3
John Klingberg,,,,,,,,,,,,,,1,,,,,,1
John LeClair,1,,,,,,,,,,,,,,,,,,,1
John Scott,,,,,,,,,,,,1,,,,,,,,1
John Tavares,,,,,,,,,,1,1,1,1,1,1,,,,,6
Johnny Gaudreau,,,,,,,,,,,1,1,1,1,1,,1,1,,7
Jonas Hiller,,,,,,,,,1,,,,,,,,,,,1
Jonathan Cheechoo,,,,,,1,,,,,,,,,,,,,,1
Jonathan Huberdeau,,,,,,,,,,,,,,,,1,1,,,2
Jonathan Marchessault,,,,,,,,,,,,,,,,,1,,,1
Jonathan Quick,,,,,,,,,,1,,1,,,,,,,,2
Jonathan Toews,,,,,,,,1,1,,1,,1,,,,,,,4
Joonas Korpisalo,,,,,,,,,,,,,,,,1,,,,1
Jordan Binnington,,,,,,,,,,,,,,,,1,,,,1
Jordan Eberle,,,,,,,,,,1,,,,,,,1,,,2
Jordan Kyrou,,,,,,,,,,,,,,,,,1,,,1
José Théodore,,,1,,1,,,,,,,,,,,,,,,2
Josh Bailey,,,,,,,,,,,,,,1,,,,,,1
Josh Morrissey,,,,,,,,,,,,,,,,,,1,,1
Justin Faulk,,,,,,,,,,,1,1,1,,,,,,,3
Justin Williams,,,,,,1,,,,,,,,,,,,,,1
Juuse Saros,,,,,,,,,,,,,,,,,1,1,,2
Keith Primeau,,,,,1,,,,,,,,,,,,,,,1
Keith Tkachuk,,,,,1,,,1,,,,,,,,,,,,2
Keith Yandle,,,,,,,,,1,1,,,,,1,,,,,3
Kevin Fiala,,,,,,,,,,,,,,,,,,1,,1
Kevin Hayes,,,,,,,,,,,,,,,,,,1,,1
Kevin Shattenkirk,,,,,,,,,,,1,,,,,,,,,1
Kimmo Timonen,,,,,1,1,1,,,1,,,,,,,,,,4
Kirill Kaprizov,,,,,,,,,,,,,,,,,1,1,1,3
Kris Letang,,,,,,,,,1,1,,1,,1,1,1,,,,6
Kyle Connor,,,,,,,,,,,,,,,,,1,,1,2
Kyle Okposso,,,,,,,,,,,,,1,,,,,,,1
Kyle Palmieri,,,,,,,,,,,,,,,1,1,,,,2
Leo Komarov,,,,,,,,,,,,1,,,,,,,,1
Leon Draisaitl,,,,,,,,,,,,,,,1,1,1,1,1,5
Linus Ullmark,,,,,,,,,,,,,,,,,,1,,1
Logan Couture,,,,,,,,,,1,,,,,,1,,,,2
Logan Thompson,,,,,,,,,,,,,,,,,,1,,1
Loui Eriksson,,,,,,,,,1,,,,,,,,,,,1
Ľubomír Višňovský,,,,,,1,,,,,,,,,,,,,,1
Luc Robitaille,,1,,,,,,,,,,,,,,,,,,1
Manny Legace,,,,,,,1,,,,,,,,,,,,,1
Marc Savard,,,,,,,1,1,,,,,,,,,,,,2
Marc Staal,,,,,,,,,1,,,,,,,,,,,1
Marc-André Fleury,,,,,,,,,1,,1,,,1,1,1,,,,5
Marcus Ragnarsson,,1,,,,,,,,,,,,,,,,,,1
Marián Gáborík,,,,1,,,1,,,1,,,,,,,,,,3
