Player,Position,GP,GPG,APG,PPG,PlayerID
Curtis McElhinney,G,20,0.00,0.00,0.00,mcelhcu01
D.J. King,LW,12,0.00,0.00,0.00,kingdj01
Dainius Zubrus,RW,51,0.20,0.33,0.53,zubruda01
Dan Boyle,D,76,0.20,0.57,0.76,boyleda01
Dan Ellis,G,31,0.00,0.03,0.03,ellisda01
Dan Girardi,D,82,0.07,0.22,0.29,girarda01
Dan Hamhuis,D,78,0.06,0.24,0.31,hamhuda01
Dan Sexton,RW,41,0.22,0.24,0.46,sextoda01
Dane Byers,LW,5,0.20,0.00,0.20,byersda01
Daniel Alfredsson,RW,70,0.29,0.73,1.01,alfreda01
Daniel Brière,C,75,0.35,0.36,0.71,brierda01
Daniel Carcillo,LW,76,0.16,0.13,0.29,carcida01
Daniel Cleary,LW,64,0.23,0.30,0.53,clearda01
Daniel Paille,LW,76,0.13,0.13,0.26,paillda01
Daniel Sedin,LW,63,0.46,0.89,1.35,sedinda01
Daniel Winnik,C,74,0.05,0.20,0.26,winnida01
Danny Irmen,C,2,0.00,0.00,0.00,irmenda01
Danny Syvret,D,21,0.10,0.10,0.19,syvreda01
Dany Heatley,RW,82,0.48,0.52,1.00,heatlda01
Darcy Hordichuk,LW,56,0.02,0.02,0.04,hordida01
Darcy Tucker,C,71,0.14,0.20,0.34,tuckeda01
Darren Haydar,RW,1,0.00,0.00,0.00,haydada01
Darren Helm,C,75,0.15,0.17,0.32,helmda01
Darroll Powe,C,63,0.14,0.10,0.24,poweda01
Darryl Sydor,D,47,0.00,0.17,0.17,sydorda01
Dave Bolland,C,39,0.15,0.26,0.41,bollada01
Dave Moss,LW,64,0.13,0.14,0.27,mossda01
Dave Scatchard,C,16,0.19,0.13,0.31,scatcda01
David Backes,RW,79,0.22,0.39,0.61,backeda01
David Booth,LW,28,0.29,0.29,0.57,boothda01
David Clarkson,RW,46,0.24,0.28,0.52,clarkda03
David Desharnais,C,6,0.00,0.17,0.17,deshada01
David Hale,D,39,0.00,0.10,0.10,haleda01
David Jones,RW,23,0.43,0.26,0.70,jonesda01
David Kočí,D,43,0.02,0.00,0.02,kocida01
David Krejčí,C,79,0.22,0.44,0.66,krejcda01
David Laliberte,RW,11,0.18,0.09,0.27,lalibda01
David Legwand,C,82,0.13,0.33,0.46,legwada01
David Perron,LW,82,0.24,0.33,0.57,perroda01
David Schlemko,D,17,0.06,0.24,0.29,schleda01
David Steckel,C,79,0.06,0.14,0.20,steckda01
Davis Drewiske,D,42,0.02,0.17,0.19,drewida01
Daymond Langkow,C,72,0.19,0.32,0.51,langkda01
Dean Arsene,D,13,0.00,0.00,0.00,arsende01
Dean McAmmond,LW,62,0.13,0.15,0.27,mcammde01
Denis Grebeshkov,D,51,0.14,0.27,0.41,grebede01
Dennis Seidenberg,D,79,0.05,0.35,0.41,seidede01
Dennis Wideman,D,76,0.08,0.32,0.39,widemde01
Derek Armstrong,C,6,0.00,0.00,0.00,armstde01
Derek Boogaard,LW,57,0.00,0.07,0.07,boogade01
Derek Dorsett,RW,51,0.08,0.20,0.27,dorsede01
Derek Joslin,D,24,0.00,0.13,0.13,joslide01
Derek MacKenzie,C,18,0.06,0.17,0.22,mackede01
Derek Meech,D,49,0.04,0.08,0.12,meechde01
Derek Morris,D,76,0.05,0.33,0.38,morride01
Derek Peltier,D,3,0.00,0.00,0.00,peltide01
Derek Roy,C,80,0.33,0.54,0.86,royde01
Derek Smith,D,2,0.00,0.00,0.00,smithde05
Derick Brassard,C,79,0.11,0.34,0.46,brassde01
Deryk Engelland,D,9,0.00,0.22,0.22,engelde01
Devan Dubnyk,G,19,0.00,0.00,0.00,dubnyde01
Devin Setoguchi,RW,70,0.29,0.23,0.51,setogde01
Dion Phaneuf,D,81,0.15,0.25,0.40,phanedi01
Dmitry Kulikov,D,68,0.04,0.19,0.24,kulikdm01
Dominic Moore,C,69,0.14,0.26,0.41,mooredo01
Donald Brashear,LW,36,0.00,0.03,0.03,brashdo01
Doug Janik,D,13,0.00,0.15,0.15,janikdo01
Doug Weight,C,36,0.03,0.44,0.47,weighdo01
Douglas Murray,D,79,0.05,0.16,0.22,murrado01
Drayson Bowman,C,9,0.22,0.00,0.22,bowmadr01
Drew Doughty,D,82,0.20,0.52,0.72,doughdr01
Drew Larman,C,4,0.00,0.00,0.00,larmadr01
Drew Miller,LW,80,0.13,0.11,0.24,milledr01
Drew Stafford,RW,71,0.20,0.28,0.48,staffdr01
Duncan Keith,D,82,0.17,0.67,0.84,keithdu01
Dustin Boyd,C,78,0.14,0.17,0.31,boyddu01
Dustin Brown,RW,82,0.29,0.39,0.68,browndu01
Dustin Byfuglien,D,82,0.21,0.21,0.41,byfugdu01
Dustin Jeffrey,C,1,0.00,0.00,0.00,jeffrdu01
Dustin Kohn,D,22,0.00,0.18,0.18,kohndu01
Dustin Penner,RW,82,0.39,0.38,0.77,pennedu01
Dustin Tokarski,G,2,0.00,0.00,0.00,tokardu01
Dwayne Roloson,G,50,0.00,0.00,0.00,rolosdw01
Dwight Helminen,C,4,0.25,0.00,0.25,helmidw01
Dylan Reese,D,19,0.11,0.11,0.21,reesedy01
Ed Jovanovski,D,66,0.15,0.36,0.52,jovaned01
Enver Lisin,RW,57,0.11,0.14,0.25,lisinen01
Éric Bélanger,C,77,0.19,0.34,0.53,belaner01
Eric Boulton,LW,62,0.03,0.10,0.13,boulter01
Eric Brewer,D,59,0.14,0.12,0.25,breweer01
Eric Fehr,RW,69,0.30,0.26,0.57,fehrer01
Eric Godard,RW,45,0.02,0.04,0.07,godarer01
Eric Nystrom,LW,82,0.13,0.10,0.23,nystrer01
Eric Staal,C,70,0.41,0.59,1.00,staaler01
Eric Tangradi,LW,1,0.00,0.00,0.00,tangrer01
Erik Christensen,C,58,0.14,0.31,0.45,chriser01
Erik Cole,LW,40,0.28,0.13,0.40,coleer01
Erik Ersberg,G,11,0.00,0.00,0.00,ersbeer01
Erik Johnson,D,79,0.13,0.37,0.49,johnser01
Erik Karlsson,D,60,0.08,0.35,0.43,karlser01
Ethan Moreau,LW,76,0.12,0.12,0.24,moreaet01
Evan Oberg,D,2,0.00,0.00,0.00,obergev01
Evander Kane,C,66,0.21,0.18,0.39,kaneev01
Evgeni Malkin,C,67,0.42,0.73,1.15,malkiev01
Evgeni Nabokov,G,71,0.00,0.00,0.00,nabokev01
Evgenii Dadonov,RW,4,0.00,0.00,0.00,dadonev01
Evgeny Artyukhin,RW,54,0.17,0.13,0.30,artyuev01
Fabian Brunnström,LW,44,0.05,0.20,0.25,brunnfa01
Fedor Tyutin,D,80,0.08,0.33,0.40,tyutife01
Fernando Pisani,RW,40,0.10,0.10,0.20,pisanfe01
Filip Kuba,D,53,0.06,0.47,0.53,kubafi01
Francis Bouillon,D,81,0.04,0.10,0.14,bouilfr01
Francis Wathier,LW,5,0.00,0.00,0.00,wathifr01
François Beauchemin,D,82,0.06,0.26,0.32,beaucfr01
Frans Nielsen,C,76,0.16,0.34,0.50,nielsfr01
Frazer McLaren,LW,23,0.04,0.22,0.26,mclarfr01
Freddy Meyer,D,64,0.06,0.17,0.23,meyerfr01
Fredrik Modin,LW,44,0.11,0.14,0.25,modinfr01
Fredrik Sjöström,RW,65,0.05,0.12,0.17,sjostfr01
Garnet Exelby,D,51,0.02,0.06,0.08,exelbga01
George Parros,RW,57,0.07,0.00,0.07,parroge01
Georges Laraque,RW,28,0.04,0.07,0.11,laraqge01
Gilbert Brulé,C,65,0.26,0.31,0.57,brulegi01
Glen Metropolit,C,69,0.23,0.19,0.42,metrogl01
Grant Clitsome,D,11,0.09,0.18,0.27,clitsgr01
Greg Mauldin,C,1,0.00,0.00,0.00,mauldgr01
Greg Moore,RW,4,0.00,0.00,0.00,mooregr01
Greg Stewart,LW,5,0.00,0.00,0.00,stewagr01
Greg Zanon,D,81,0.02,0.16,0.19,zanongr01
Gregory Campbell,C,60,0.03,0.25,0.28,campbgr01
Guillaume Desbiens,D,1,0.00,0.00,0.00,desbigu01
Guillaume Latendresse,RW,78,0.35,0.17,0.51,latengu01
Guillaume Lefebvre,LW,1,0.00,0.00,0.00,lefebgu01
Hal Gill,D,68,0.03,0.13,0.16,gillha01
Henrik Lundqvist,G,73,0.00,0.01,0.01,lundqhe01
Henrik Sedin,C,82,0.35,1.01,1.37,sedinhe01
Henrik Tallinder,D,82,0.05,0.20,0.24,tallihe01
Henrik Zetterberg,C,74,0.31,0.64,0.95,zettehe01
Ian Laperrière,C,82,0.04,0.21,0.24,laperia01
Ian White,D,83,0.16,0.30,0.46,whiteia01
Ilkka Heikkinen,D,7,0.00,0.00,0.00,heikkil01
Ilkka Pikkarainen,RW,31,0.03,0.10,0.13,pikkail01
Ilya Bryzgalov,G,69,0.00,0.01,0.01,bryzgil01
Ilya Kovalchuk,LW,76,0.54,0.58,1.12,kovalil01
Ivan Vishnevskiy,D,2,0.00,0.00,0.00,vishniv01
J.P. Dumont,RW,74,0.23,0.38,0.61,dumonjp01
J.T. Wyman,RW,3,0.00,0.00,0.00,wymanja01
Jack Hillen,D,69,0.04,0.26,0.30,hilleja01
