,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Possession Quality,Possession Quality,Possession Quality,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,-9999
69,Anthony Mantha,24,DET,RW,67,20,0.37,0.34,0.72,0.30,0.45,2.96,25,23,48,20,69,20,56,0,-8,45.9,40.7,5.2,4.0,1.0,5.0,0,,,,manthan01
70,Anthony Peluso,29,CGY,RW,4,0,0.00,0.00,0.00,0.00,1.75,0.25,0,0,0,0,0,0,1,0,-1,0.4,0.5,-0.1,0.0,0.0,-0.1,0,,,,pelusan01
71,Anthony Richard,22,NSH,C,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,1,0,-1,0.2,0.3,-0.1,0.0,0.0,-0.1,0,,,,richaan01
72,Anthony Stolarz,25,TOT,G,18,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,34,3,50,9,0,28.1,35.0,,0.0,0.0,2.3,0,,,,stolaan01
72,Anthony Stolarz,25,PHI,G,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,28,3,35,4,0,18.7,24.6,,0.0,0.0,1.7,0,,,,stolaan01
72,Anthony Stolarz,25,EDM,G,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,6,0,15,5,0,9.4,10.4,,0.0,0.0,0.6,0,,,,stolaan01
73,Antoine Roussel,29,VAN,LW,65,11,0.14,0.34,0.48,0.17,1.82,1.29,9,22,31,11,39,1,45,11,5,31.9,33.9,-2.0,1.6,1.3,2.9,1,0,1,0.0,roussan01
74,Anton Blidh,23,BOS,LW,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.2,0.4,-0.3,0.0,0.0,0.0,0,,,,blidhan01
75,Anton Khudobin,32,DAL,G,41,0,0.00,0.00,0.00,0.00,0.05,0.00,0,0,0,0,83,12,95,23,0,75.0,79.7,,0.0,0.0,8.6,0,,,,khudoan01
76,Anton Lindholm,24,COL,D,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,1,0,-1,1.0,0.6,0.4,0.0,0.0,-0.1,0,,,,lindhan01
77,Anton Strålman,32,TBL,D,47,5,0.04,0.32,0.36,0.11,0.17,1.21,2,15,17,5,48,1,49,14,12,34.6,37.4,-2.8,0.7,2.4,3.1,0,,,,stralan01
78,Antti Niemi,35,MTL,G,17,0,0.00,0.06,0.06,0.02,0.00,0.00,0,1,1,0,53,7,61,17,0,35.0,32.0,,0.0,0.0,1.7,0,,,,niemian02
79,Antti Raanta,29,ARI,G,12,0,0.00,0.08,0.08,0.02,0.00,0.00,0,1,1,0,27,4,33,6,0,24.9,24.6,,0.0,0.0,1.8,0,,,,raantan01
80,Antti Suomela,24,SJS,C,27,3,0.11,0.19,0.30,0.11,0.15,1.56,3,5,8,3,8,0,8,1,1,14.6,11.4,3.2,0.2,0.3,0.6,0,,,,suomean01
81,Anže Kopitar,31,LAK,C,81,23,0.27,0.47,0.74,0.28,0.37,1.93,22,38,60,22,92,27,113,29,-20,54.9,63.4,-8.5,3.3,1.7,5.0,7,3,4,42.9,kopitan01
82,Artem Anisimov,30,CHI,C,78,14,0.19,0.28,0.47,0.18,0.18,1.82,15,22,37,14,55,8,63,14,-2,45.3,56.3,-10.9,1.6,1.0,2.6,0,,,,anisiar01
83,Artemi Panarin,27,CBJ,LW,79,32,0.35,0.75,1.10,0.40,0.29,2.42,28,59,87,31,114,22,80,1,14,69.1,57.4,11.7,7.4,2.3,9.7,3,2,1,66.7,panarar01
84,Artturi Lehkonen,23,MTL,LW,82,11,0.13,0.24,0.38,0.14,0.39,2.15,11,20,31,11,58,2,64,18,10,51.0,42.7,8.3,0.6,1.7,2.3,0,,,,lehkoar01
85,Ashton Sautner,24,VAN,D,17,0,0.00,0.06,0.06,0.02,0.12,1.24,0,1,1,0,7,0,9,0,-2,6.6,8.2,-1.6,-0.2,0.4,0.2,0,,,,sautnas01
86,Austin Czarnik,26,CGY,C,54,6,0.11,0.22,0.33,0.12,0.15,1.20,6,12,18,7,26,3,25,1,-1,22.9,19.8,3.1,0.7,0.5,1.2,0,,,,czarnau01
87,Austin Wagner,21,LAK,LW,62,9,0.19,0.15,0.34,0.15,0.26,1.08,12,9,21,9,23,0,21,0,2,21.0,22.3,-1.3,1.8,0.8,2.7,0,,,,wagneau01
88,Austin Watson,27,NSH,LW,37,6,0.19,0.24,0.43,0.17,1.05,1.73,7,9,16,6,28,1,26,10,11,15.9,20.4,-4.5,0.9,1.0,1.9,0,,,,watsoau01
89,Auston Matthews,21,TOR,C,68,30,0.54,0.53,1.07,0.44,0.18,3.69,37,36,73,30,92,27,74,0,-9,55.8,49.7,6.1,7.6,0.7,8.3,2,1,1,50.0,matthau01
90,Barclay Goodrow,25,SJS,RW,82,6,0.09,0.12,0.21,0.08,0.93,1.02,7,10,17,7,34,0,46,16,4,25.9,26.5,-0.6,-0.1,1.0,0.9,0,,,,goodrba01
91,Ben Bishop,32,DAL,G,46,1,0.00,0.04,0.04,0.01,0.04,0.00,0,2,2,1,123,33,87,17,0,93.6,89.7,,0.0,0.0,10.8,0,,,,bishobe01
