,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,-9999
46,Andrej Sekera,26,BUF,D,37,4,0.05,0.27,0.32,0.10,0.11,0.89,4,19,23,7,29,1,35,5,-2,0.6,1.3,1.9,0,,,,sekeran01
47,Andrej Šustr,22,TBL,D,2,0,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,1,0,0,0,1,0.0,0.1,0.1,0,,,,sustran01
48,Andrew Alberts,31,VAN,D,24,0,0.00,0.04,0.04,0.01,1.33,0.63,0,2,2,1,6,0,16,3,-7,-0.3,0.2,-0.1,0,,,,alberan01
49,Andrew Cogliano,25,ANA,C,48,10,0.27,0.21,0.48,0.20,0.13,1.65,25,19,44,19,31,0,24,7,14,1.9,1.3,3.3,1,0,1,0.0,coglian01
50,Andrew Desjardins,26,SJS,C,42,1,0.05,0.02,0.07,0.03,1.45,1.21,4,2,6,3,7,1,16,4,-6,-0.6,0.4,-0.3,0,,,,desjaan01
51,Andrew Ebbett,30,VAN,C,28,2,0.04,0.18,0.21,0.07,0.14,0.82,2,9,11,4,10,1,14,4,-1,-0.2,0.4,0.2,0,,,,ebbetan01
52,Andrew Ference,33,BOS,D,48,5,0.08,0.19,0.27,0.10,0.73,1.38,8,17,25,9,38,0,36,7,9,0.8,2.7,3.5,0,,,,ferenan01
53,Andrew Gordon,27,VAN,RW,6,0,0.00,0.00,0.00,0.00,0.00,0.33,0,0,0,0,0,0,1,0,-1,-0.1,0.0,-0.1,0,,,,gordoan01
54,Andrew Ladd,27,WPG,LW,48,17,0.38,0.58,0.96,0.36,0.46,2.52,35,52,87,33,61,12,48,9,10,4.6,1.4,5.9,4,2,2,50.0,laddan01
55,Andrew MacDonald,26,NYI,D,48,4,0.06,0.19,0.25,0.08,0.42,0.94,6,17,23,8,47,9,59,19,-2,0.3,2.1,2.4,0,,,,macdoan01
56,Andrew Murray,31,STL,C,1,0,0.00,0.00,0.00,0.00,0.00,2.00,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,,,murraan01
57,Andrew Shaw,21,CHI,C,48,7,0.19,0.13,0.31,0.14,0.79,1.33,17,11,28,12,30,8,16,0,6,0.7,0.9,1.6,3,1,2,33.3,shawan01
58,Andy Greene,30,NJD,D,48,6,0.08,0.25,0.33,0.12,0.42,1.31,8,22,30,10,49,8,42,13,12,1.0,3.8,4.8,0,,,,greenan01
59,Andy McDonald,35,STL,C,37,7,0.19,0.38,0.57,0.20,0.43,2.32,14,26,40,15,36,13,26,1,-2,1.3,0.8,2.1,4,4,0,100.0,mcdonan01
60,Andy Miele,24,PHX,C,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,1,0,0,0,1,0.0,0.1,0.0,0,,,,mielean01
61,Anthony Peluso,23,WPG,RW,5,1,0.00,0.40,0.40,0.11,2.80,0.80,0,4,4,1,2,0,1,0,1,0.2,0.1,0.2,0,,,,pelusan01
62,Antoine Roussel,23,DAL,C,39,6,0.18,0.18,0.36,0.14,2.18,1.18,14,13,27,11,18,0,17,2,3,1.3,0.5,1.8,0,,,,roussan01
63,Antoine Vermette,30,PHX,C,48,9,0.27,0.17,0.44,0.19,0.75,1.90,25,15,40,18,33,6,43,13,-3,1.3,0.7,2.0,3,0,3,0.0,vermean01
64,Anton Babchuk,28,CGY,D,7,0,0.00,0.14,0.14,0.04,0.00,0.71,0,2,2,1,4,1,4,0,-1,0.0,0.1,0.1,0,,,,babchan01
