,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts,-additional
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.,-9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
347,Jamie Allison,30,TOT,D,27,0,0.00,0.04,0.04,0.01,2.07,0.26,0,1,1,0,5,0,12,1,-6,-0.2,0.1,-0.1,0,,,,allisja01
347,Jamie Allison,30,NSH,D,20,0,0.00,0.05,0.05,0.01,2.25,0.15,0,1,1,0,1,0,8,1,-6,-0.1,-0.1,-0.2,0,,,,allisja01
347,Jamie Allison,30,FLA,D,7,0,0.00,0.00,0.00,0.00,1.57,0.57,0,0,0,0,4,0,4,0,0,-0.1,0.1,0.1,0,,,,allisja01
348,Jamie Heward,34,WSH,D,71,10,0.10,0.30,0.39,0.14,0.76,1.97,7,20,27,9,70,26,86,37,-5,1.7,2.1,3.9,0,,,,hewarja01
349,Jamie Langenbrunner,30,NJD,RW,80,19,0.24,0.43,0.66,0.24,0.93,3.04,19,33,52,19,73,36,55,17,-1,2.6,2.0,4.6,0,,,,langeja01
350,Jamie Lundmark,25,TOT,C,53,10,0.19,0.36,0.55,0.20,1.17,1.47,10,18,28,10,49,23,29,2,-1,1.9,0.8,2.7,0,,,,lundmja01
350,Jamie Lundmark,25,PHX,C,38,6,0.13,0.34,0.47,0.16,0.95,1.61,5,12,17,6,34,15,21,1,-1,0.8,0.5,1.4,0,,,,lundmja01
350,Jamie Lundmark,25,CGY,C,12,4,0.33,0.50,0.83,0.32,1.67,1.33,4,6,10,4,13,7,5,1,2,1.0,0.3,1.3,0,,,,lundmja01
350,Jamie Lundmark,25,NYR,C,3,1,0.33,0.00,0.33,0.18,2.00,0.33,1,0,1,1,2,1,3,0,-2,0.1,0.0,0.1,0,,,,lundmja01
351,Jamie McLennan,34,FLA,G,17,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.0,0.0,2.3,0,,,,mclenja01
352,Jamie Pushor,32,CBJ,D,4,1,0.25,0.50,0.75,0.27,0.00,0.50,1,2,3,1,5,0,5,1,1,0.3,0.2,0.6,0,,,,pushoja01
353,Jamie Rivers,30,TOT,D,33,2,0.00,0.18,0.18,0.05,1.15,1.09,0,6,6,2,21,4,25,10,2,0.0,1.2,1.2,0,,,,riverja01
353,Jamie Rivers,30,PHX,D,18,1,0.00,0.28,0.28,0.07,1.44,1.78,0,5,5,1,15,4,17,8,2,0.1,1.0,1.0,0,,,,riverja01
353,Jamie Rivers,30,DET,D,15,0,0.00,0.07,0.07,0.02,0.80,0.27,0,1,1,0,6,0,8,2,0,-0.1,0.3,0.2,0,,,,riverja01
354,Jan Bulis,27,MTL,LW,73,16,0.27,0.27,0.55,0.22,0.68,1.79,20,19,39,16,54,12,51,11,2,2.6,1.4,4.0,0,,,,bulisja01
355,Jan Hrdina,29,CBJ,C,75,12,0.13,0.31,0.44,0.16,1.04,1.04,10,22,32,11,49,18,58,19,-8,0.6,1.1,1.7,0,,,,hrdinja01
356,Jani Rita,24,TOT,LW,51,4,0.12,0.08,0.20,0.08,0.20,0.96,6,4,10,4,17,3,20,0,-6,0.3,0.3,0.5,0,,,,ritaja01
356,Jani Rita,24,PIT,LW,30,3,0.10,0.13,0.23,0.09,0.13,1.20,3,4,7,3,11,2,15,0,-6,0.1,0.1,0.2,0,,,,ritaja01
356,Jani Rita,24,EDM,LW,21,2,0.14,0.00,0.14,0.08,0.29,0.62,3,0,3,2,6,1,5,0,0,0.2,0.2,0.4,0,,,,ritaja01
357,Janne Niinimaa,30,TOT,D,63,5,0.05,0.21,0.25,0.08,1.37,0.78,3,13,16,5,47,10,70,21,-12,0.4,2.0,2.3,0,,,,niinija01
357,Janne Niinimaa,30,NYI,D,41,3,0.02,0.22,0.24,0.07,1.51,0.56,1,9,10,3,32,4,53,18,-7,0.1,1.3,1.4,0,,,,niinija01
357,Janne Niinimaa,30,DAL,D,22,2,0.09,0.18,0.27,0.10,1.09,1.18,2,4,6,2,15,6,17,3,-5,0.3,0.6,0.9,0,,,,niinija01
358,Jarkko Immonen,23,NYR,C,6,1,0.33,0.00,0.33,0.18,0.00,1.33,2,0,2,1,2,1,2,0,-1,0.2,0.0,0.2,0,,,,immonja01
359,Jarkko Ruutu,30,VAN,RW,82,7,0.12,0.09,0.21,0.09,1.73,1.04,10,7,17,7,34,7,42,16,1,-0.2,1.1,1.0,0,,,,ruutuja01
360,Jarome Iginla,28,CGY,RW,82,28,0.43,0.39,0.82,0.34,1.05,3.57,35,31,66,28,104,60,63,24,5,5.0,2.8,7.8,0,,,,iginlja01
361,Jaromír Jágr,33,NYR,RW,82,47,0.66,0.84,1.50,0.58,0.88,4.49,54,66,120,47,152,66,53,1,34,12.1,3.4,15.5,0,,,,jagrja01
362,Jaroslav Balaštík,26,CBJ,LW,66,9,0.18,0.15,0.33,0.14,0.39,2.39,12,10,22,9,45,18,29,1,-1,0.9,0.9,1.8,0,,,,balasja01
363,Jaroslav Modrý,34,ATL,D,79,12,0.09,0.39,0.48,0.15,0.96,1.81,7,30,37,12,101,45,88,23,-9,2.5,2.1,4.6,0,,,,modryja01
364,Jaroslav Špaček,31,TOT,D,76,15,0.16,0.41,0.57,0.19,1.26,1.97,12,29,41,14,93,34,70,22,11,3.3,5.0,8.3,0,,,,spaceja01
364,Jaroslav Špaček,31,CHI,D,45,8,0.16,0.38,0.53,0.19,1.60,1.78,7,16,23,8,53,17,40,12,8,1.8,2.9,4.7,0,,,,spaceja01
364,Jaroslav Špaček,31,EDM,D,31,6,0.16,0.45,0.61,0.21,0.77,2.26,5,13,18,6,40,17,30,10,3,1.4,2.1,3.5,0,,,,spaceja01
365,Jaroslav Svoboda,25,DAL,LW,43,3,0.09,0.07,0.16,0.07,0.51,0.77,4,3,7,3,11,0,14,0,-3,0.2,0.3,0.4,0,,,,svoboja01
366,Jarret Stoll,23,EDM,C,82,24,0.27,0.56,0.83,0.29,0.90,2.96,22,44,66,24,100,54,62,20,4,4.4,2.0,6.4,0,,,,stollja01
367,Jason Allison,30,TOR,C,66,21,0.26,0.65,0.91,0.31,1.15,1.68,17,41,58,20,84,54,54,6,-18,3.9,0.7,4.7,0,,,,allisja02
368,Jason Arnott,31,DAL,C,81,28,0.40,0.54,0.94,0.35,1.26,2.06,32,42,74,29,101,44,52,8,13,6.4,2.2,8.6,0,,,,arnotja01
369,Jason Bacashihua,23,STL,G,19,0,0.00,0.05,0.05,0.01,0.00,0.00,0,1,1,0,1,0,0,0,0,0.0,0.0,3.0,0,,,,bacasja01
370,Jason Blake,32,NYI,LW,76,23,0.37,0.38,0.75,0.30,0.79,4.00,28,28,56,23,78,27,74,23,0,4.1,1.7,5.8,0,,,,blakeja01
371,Jason Chimera,26,CBJ,LW,80,13,0.21,0.16,0.38,0.16,1.19,1.59,17,12,29,13,38,3,49,4,-10,1.7,0.7,2.5,0,,,,chimeja01
372,Jason LaBarbera,26,LAK,G,29,0,0.00,0.03,0.03,0.01,0.00,0.00,0,1,1,0,1,0,0,0,0,0.0,0.0,4.1,0,,,,labarja01
373,Jason Marshall,34,MDA,D,23,1,0.00,0.17,0.17,0.05,1.48,1.09,0,4,4,1,10,0,12,4,2,0.1,0.7,0.8,0,,,,marshja02
374,Jason Morgan,29,CHI,C,7,1,0.14,0.14,0.29,0.12,0.86,0.86,1,1,2,1,2,0,2,1,1,0.1,0.1,0.2,0,,,,morgaja01
375,Jason Pominville,23,BUF,RW,57,13,0.32,0.21,0.53,0.22,0.39,2.18,18,11,29,13,50,29,29,4,-4,2.3,0.8,3.2,0,,,,pominja01
376,Jason Ryznar,22,NJD,LW,8,0,0.00,0.00,0.00,0.00,0.25,0.13,0,0,0,0,0,0,1,0,-1,-0.1,0.0,-0.1,0,,,,ryznaja01
377,Jason Smith,32,EDM,D,76,6,0.05,0.17,0.22,0.07,1.11,1.04,4,12,16,5,56,1,89,35,1,0.3,3.7,4.0,0,,,,smithja01
378,Jason Spezza,22,OTT,C,68,30,0.28,1.04,1.32,0.43,0.49,2.29,19,68,87,29,119,61,35,0,23,7.1,2.1,9.2,0,,,,spezzja01
379,Jason Strudwick,30,NYR,D,65,3,0.05,0.06,0.11,0.04,1.02,0.48,3,4,7,3,25,0,55,20,-10,-0.2,1.5,1.3,0,,,,strudja01
380,Jason Ward,27,NYR,RW,81,10,0.12,0.22,0.35,0.13,0.54,1.54,10,17,27,10,32,2,54,20,-4,0.6,1.1,1.7,0,,,,wardja01
