,Team A,Asset Sent,Asset Received,Team B,Num Players Sent,Num Player Received,Year,Month,Day
11496,Blues, • Zack Phillips, • future considerations (?),Bruins,1,1,2016,3,4
11497,Bruins, • future considerations (?), • Zack Phillips,Blues,1,1,2016,3,4
11498,Canucks, • future considerations (?), • Dane Fox,Hurricanes,1,1,2016,3,7
11499,Hurricanes, • Dane Fox, • future considerations (?),Canucks,1,1,2016,3,7
11500,Canucks, • Erik Gudbranson• 2016 fifth round pick (#140-Cole Candella), • Jared McCann• 2016 second round pick (#33-Rasmus Asplund)• 2016 fourth round pick (#94-Jonathan Ang),Panthers,3,2,2016,5,25
11501,Panthers, • Jared McCann• 2016 second round pick (#33-Rasmus Asplund)• 2016 fourth round pick (#94-Jonathan Ang), • Erik Gudbranson• 2016 fifth round pick (#140-Cole Candella),Canucks,2,3,2016,5,25
11502,RedWings, • Dylan Sadowy, • 2017 third round pick (#69-Mackenzie Entwistle),Sharks,1,1,2016,5,26
11503,Sharks, • 2017 third round pick (#69-Mackenzie Entwistle), • Dylan Sadowy,RedWings,1,1,2016,5,26
11504,Devils, • Marc Savard• 2018 second round pick (#46-Martin Fehervary), • Paul Thompson (c)• Graham Black,Panthers,2,2,2016,6,10
11505,Panthers, • Paul Thompson (c)• Graham Black, • Marc Savard• 2018 second round pick (#46-Martin Fehervary),Devils,2,2,2016,6,10
11506,Blackhawks, • 2016 second round pick (#50-Artur Kayumov)• 2017 third round pick (#88-Keith Petruzzelli), • Teuvo Teravainen• Bryan Bickell,Hurricanes,2,2,2016,6,15
11507,Hurricanes, • Teuvo Teravainen• Bryan Bickell, • 2016 second round pick (#50-Artur Kayumov)• 2017 third round pick (#88-Keith Petruzzelli),Blackhawks,2,2,2016,6,15
11508,Coyotes, • rights to Alex Goligoski, • 2016 fifth round pick (#128-Colton Point),Stars,1,1,2016,6,16
11509,Stars, • 2016 fifth round pick (#128-Colton Point), • rights to Alex Goligoski,Coyotes,1,1,2016,6,16
11510,Coyotes, • 2016 fourth round pick (#120-Otto Koivula)• 2017 third round pick (#69-Mackenzie Entwistle), • Maxim Letunov• 2017 sixth round pick (#159-Jacob McGrew / Jake McGrew),Sharks,2,2,2016,6,20
11511,Panthers, • rights to Keith Yandle, • 2016 sixth round pick (#174-Tyler Wall)• 2017 conditional fourth round pick (if Panthers sign Yandle) (#102-Scott Reedy),Rangers,2,1,2016,6,20
11512,Predators, • 2016 third round pick (#76-Rem Pitlick), • rights to Jimmy Vesey,Sabres,1,1,2016,6,20
11513,Rangers, • 2016 sixth round pick (#174-Tyler Wall)• 2017 conditional fourth round pick (if Panthers sign Yandle) (#102-Scott Reedy), • rights to Keith Yandle,Panthers,1,2,2016,6,20
11514,Sabres, • rights to Jimmy Vesey, • 2016 third round pick (#76-Rem Pitlick),Predators,1,1,2016,6,20
11515,Sharks, • Maxim Letunov• 2017 sixth round pick (#159-Jacob McGrew / Jake McGrew), • 2016 fourth round pick (#120-Otto Koivula)• 2017 third round pick (#69-Mackenzie Entwistle),Coyotes,2,2,2016,6,20
11516,Ducks," • 2016 first round pick (#30-Sam Steel)• 2017 second round pick (middle pick of Maple Leafs, Senators, Sharks) (#50-Alexandre Comtois / Maxime Comtois / Max Comtois)", • Frederik Andersen,MapleLeafs,1,2,2016,6,20
11517,MapleLeafs, • Frederik Andersen," • 2016 first round pick (#30-Sam Steel)• 2017 second round pick (middle pick of Maple Leafs, Senators, Sharks) (#50-Alexandre Comtois / Maxime Comtois / Max Comtois)",Ducks,2,1,2016,6,20
11518,Avalanche, • Rocco Grimaldi, • Reto Berra,Panthers,1,1,2016,6,23
11519,Panthers, • Reto Berra, • Rocco Grimaldi,Avalanche,1,1,2016,6,23
11520,Blackhawks, • 2016 second round pick (#39-Alexander Debrincat / Alex DeBrincat)• 2016 second round pick (#45-Chad Krys), • Andrew Shaw,Canadiens,1,2,2016,6,24
11521,Blues, • 2016 first round pick (#26-Tage Thompson), • 2016 first round pick (#28-Lucas Johansen)• 2016 third round pick (#87-Garrett Pilon),Capitals,2,1,2016,6,24
11522,Blues, • 2016 second round pick (#35-Jordan Kyrou)• 2018 conditional third round pick (if Flames re-sign Elliott) (not exercised), • Brian Elliott,Flames,1,2,2016,6,24
11523,Canadiens, • 2017 second round pick (#58-Joni Ikonen)• 2018 second round pick (#62-Olivier Rodrigue), • Lars Eller,Capitals,1,2,2016,6,24
11524,Canadiens, • Andrew Shaw, • 2016 second round pick (#39-Alexander Debrincat / Alex DeBrincat)• 2016 second round pick (#45-Chad Krys),Blackhawks,2,1,2016,6,24
11525,Capitals, • 2016 first round pick (#28-Lucas Johansen)• 2016 third round pick (#87-Garrett Pilon), • 2016 first round pick (#26-Tage Thompson),Blues,1,2,2016,6,24
11526,Capitals, • Lars Eller, • 2017 second round pick (#58-Joni Ikonen)• 2018 second round pick (#62-Olivier Rodrigue),Canadiens,2,1,2016,6,24
11527,Coyotes, • Pavel Datsyuk• 2016 first round pick (#16-Jakob Chychrun), • Joe Vitale• 2016 first round pick (#20-Dennis Cholowski)• 2016 second round pick (#53-Filip Hronek),RedWings,3,2,2016,6,24
11528,Devils, • 2016 first round pick (#12-Michael McLeod)• 2016 third round pick (#80-Brandon Gignac), • 2016 first round pick (#11-Logan Brown),Senators,1,2,2016,6,24
11529,Flames, • Brian Elliott, • 2016 second round pick (#35-Jordan Kyrou)• 2018 conditional third round pick (if Flames re-sign Elliott) (not exercised),Blues,2,1,2016,6,24
11530,Flyers, • 2016 first round pick (#22-German Rubtsov)• 2016 second round pick (#36-Pascal Laberge), • 2016 first round pick (#18-Logan Stanley)• 2016 third round pick (#79-Luke Green),Jets,2,2,2016,6,24
